id,feature,role,sub_feature,severity,dimension,premium_blocker,current_layer,target_gap,file,evidence,recommendation,verdict,verdict_conf,orig_severity,calibrated,cal_verdict,cal_real
P011,Coach Dashboard Home,coach,Route error boundary — off-brand on live path,medium,ui-foundation,False,2,The error state is designed in the same token system / scope as the feature it guards.,src/components/errors/RouteErrorBoundary.tsx:274-320,"Error screen uses raw legacy colors: `bg-[#FAF6F1]`, `bg-white`, `bg-red-100`, `text-red-600`, `text-warm-900/600/500`, `bg-warm-50` — no --fw tokens, not wrapped in the .fairway-ds scope. On the redesigned dashboard this error state visibly clashes with the Fairway look.","Scope the dashboard error.tsx fallback to .fairway-ds and use Fairway tokens (bg-canvas, surface, text-text-primary, fw-danger, Button primitive) so the error state is part of the same premium system as the rest of the live path.",,,medium,no,,
P012,Coach Dashboard Home,coach,Date-range Segmented — state desync on browser nav,low,nielsen,False,2,Selected-segment indicator stays consistent with the URL/data across browser back/forward.,"src/components/fairway/pages/dashboard/FairwayCoachDashboard.tsx:181,188-195","const [range, setRange] = useState(initialRange); handleRangeChange does router.push(?range=...). Because ?range is a search param (not a path change), the dashboard template (keyed by pathname) does not remount, so useState(initialRange) is not re-seeded. On browser Back/Forward the URL/?range changes and the server re-fetches with the new initialRange, but the Segmented's local `range` stays on the previously-clicked value -> the highlighted segment can disagree with the data shown.","Sync local state to the prop: useEffect(()=>setRange(initialRange),[initialRange]); (or derive the segment's value directly from a useSearchParams read instead of local state).",,,low,no,,
P013,Coach Dashboard Home,coach,Qualifier secondary action — ambiguous label/intent,low,microcopy,False,3,Action labels are verbs that match where they go (Nielsen: match between system and real world / consistency).,"src/components/fairway/pages/dashboard/FairwayCoachDashboard.tsx:20,370-375","The header doc comment promises 'Create Qualifier' as a quick action, but the button label is the bare noun 'Qualifier' linking to /golf/dashboard/qualifiers (the LIST, not the create flow). A noun-only action button is ambiguous about whether it creates or views.","Use a verb label that matches the destination — e.g. 'Qualifiers' (view) or 'New Qualifier' pointing at /golf/dashboard/qualifiers/new. Align label, intent, and destination.",,,low,no,,
P014,Coach Dashboard Home,coach,Event-type tone map — info vs neutral indistinguishable,low,ui-foundation,False,3,"Color-coded event types are actually visually distinguishable, or the map is simplified to what the system renders.",src/components/fairway/pages/dashboard/FairwayCoachDashboard.tsx:783-794 + controls/status-pill.tsx:32-37,"EVENT_TONE maps practice/travel/class -> 'info' and meeting/other -> 'neutral', but StatusPill's 'info' and 'neutral' tones are visually identical (both `bg-surface-sunken text-text-secondary`, differing only in dot color). So practice and meeting pills look the same, defeating the type-color intent.","Either give 'info' a distinct (still-restrained) tint in StatusPill, or collapse the info/neutral event types to one tone so the map doesn't imply a distinction the UI can't show.",,,low,no,,
P015,CoachHelm Intelligence Hub,coach,Deep analysis engine (IntelligenceCommandCenter) — design-system consistency,low,ui-foundation,True,2,Migrate the deep-analysis subtree to Fairway design tokens so it is visually indistinguishable from the brief it sits under (grayscale + effects-off + squint tests all pass as one cohesive surface).,"src/components/golf/coachhelm/v2/IntelligenceCommandCenter.tsx:78-132, 187, 252, 1472-1520, 1780-1811","Entire engine uses the LEGACY palette/typography, not Fairway tokens: TONE_CONFIG hardcodes bg-red-50/80, border-amber-200/60, text-violet-600, accentBar 'bg-gradient-to-r from-red-500 to-rose-500'; cards use 'bg-cream-100/82 backdrop-blur-sm rounded-xl border border-warm-200/55'; primary CTA 'bg-primary-600 text-white'. Meanwhile the brief above it (FairwayBrief) is 100% Fairway tokens (text-text-primary, bg-surface, border-border-subtle, font-fw-display, fw-warning/fw-success). The two render ","Reskin the demoted deep-analysis section to Fairway primitives (InstrumentPanel/Readout/EmptyState/Button + text-text-*, surface-*, fw-success/fw-warning, font-fw-*), OR wrap it so it visually reads as the warm Fairway system. A premium screen cannot show a cream/red/violet legacy card directly beneath a warm Fairway hero.",confirmed,high,critical,yes,mis-severed,True
P016,CoachHelm Intelligence Hub,coach,Deep analysis — expandable insight/pattern cards (nested interactive controls),critical,a11y,True,1,"No nested interactive elements; every action is an independent, keyboard-reachable control with a visible focus ring and a correct accessible name.","src/components/golf/coachhelm/v2/IntelligenceCommandCenter.tsx:332-398, 580-602, 671-778, 850-876, 919-977","The whole card header is a clickable control: '<Button variant=""ghost"" onClick={() => setExpanded(!expanded)} className=""w-full text-left flex items-start"">' — and when expanded it renders action buttons INSIDE that same control: '<Button variant=""primary"" onClick={(e) => { e.stopPropagation(); onAction('acknowledge'); }}> Got It </Button>'. A <button> nested inside a <button> is invalid HTML; the e.stopPropagation() is the tell. Keyboard/AT users get an ambiguous/broken control and the inner bu","Make the header a button only over the title row (or a disclosure-triangle button) and move the body+action buttons OUTSIDE the header button, or convert to a real <details>/Radix Collapsible with the trigger as the only interactive element in the header. Never nest <button> inside <button>.",refuted,high,critical,no,,
P017,CoachHelm Intelligence Hub,coach,getTeamOverview — error masked as empty team,medium,data,True,2,"A DB failure surfaces as an error state with retry, never as a 'no players' empty state (B3 'never a cheerful empty masking a failure').",src/app/golf/actions/team-category-insights.ts:340-351,"if (membersError || !members || members.length === 0) { return { success: true, data: { ... playerCount: 0, statsRowCount: 0 } }; } — a genuine DB error on golf_team_members is folded into the same branch as 'no members' and returned as success:true. FairwayBrief then renders the cheerful 'No active players yet' EmptyState (FairwayBrief.tsx:354-367) on what is actually a backend failure.","Split the branches: on membersError return { success:false, error:'Failed to load team members' } so the Brief shows its InlineNotice 'Couldn’t refresh the team read' (retry) instead of a fake empty state. Only return the empty payload when members is genuinely [].",confirmed,high,critical,yes,mis-severed,True
P018,CoachHelm Intelligence Hub,coach,getTeamOverview — 90-day rounds query unpaginated (1000-row cap),high,data,False,2,Pagination respects the 1000-row cap so the hero's yardage/dead-zone numbers are correct at 10x data (B4).,src/app/golf/actions/team-category-insights.ts:496-501,"supabase.from('golf_rounds').select('id').in('player_id', playerIds).eq('status','completed').gte('round_date', sinceDateStr) — no .order()/.range()/fetchAllRows. PostgREST caps at 1000 rows by default, so a program with >1000 completed rounds in 90 days silently loses roundIds; the downstream shot fetch, yardageCurve, deadZones and the hero's 'toughest band' read are then computed on a truncated sample. (The sibling getTeamCategoryInsights and the shot batch below DO paginate via fetchAllRowsRe",Wrap the rounds query in fetchAllRowsResult with .order('id') + .range() (the same helper used at line 516) so every round in the window is fetched.,,,high,no,,
P019,CoachHelm Intelligence Hub,coach,"Deep analysis — Re-Analyze action: no loading skeleton, blank flash on result swap",high,states,False,2,"A designed loading state (skeleton, not spinner-on-blank) for the analysis run and a non-jarring result swap.","src/components/golf/coachhelm/v2/IntelligenceCommandCenter.tsx:1399-1418, 1506-1517, 1530, 1778-1820","handleAnalyze runs in a useTransition; while isPending the only feedback is the button label 'Analyzing…' with a spinning IconRefresh. The tab content / no-data block are gated on hasData and isPending but render no skeleton for the incoming insights/patterns/predictions — on first run the user stares at the 'Ready to Analyze' marketing block until results pop in; on re-analyze the existing cards stay then snap-replace with no shimmer. This is spinner-on-blank, the exact anti-pattern the criteri","Render shape-matched SkeletonCards for the insights/patterns/predictions regions while isPending (mirror the brief's DeepAnalysisSkeleton), and keep prior results dimmed under aria-busy rather than swapping abruptly.",,,high,no,,
P020,CoachHelm Intelligence Hub,coach,"Deep analysis — error feedback (non-actionable, no retry, off-token)",high,states,False,2,"Errors explain + offer retry in plain language, on-token, consistent with the rest of the hub (Nielsen #9, B3).",src/components/golf/coachhelm/v2/IntelligenceCommandCenter.tsx:1522-1527,"{error && (<div className=""rounded-lg border border-red-200/60 bg-red-50/80 px-3 py-2 text-xs text-red-600"">{error}</div>)} — a 12px legacy-red banner with no Retry button and no icon. After a failed analyze the only recovery is to find the Re-Analyze button again; the brief above uses InlineNotice with proper tone, but this engine rolls its own off-token notice.","Replace with the Fairway InlineNotice (tone='error') including a Retry action that re-invokes handleAnalyze, matching the brief's error treatment.",,,high,no,,
P021,CoachHelm Intelligence Hub,coach,Deep analysis — generateTeamInsight ignores the teamId prop it is handed,medium,wiring,False,2,Single source of truth for which team is analyzed; no dead props feeding a server action.,src/components/golf/coachhelm/v2/IntelligenceCommandCenter.tsx:1403; src/app/golf/actions/insights.ts:1837-1882,"ICC receives teamId as a prop and the brief passes it (FairwayBrief.tsx:498), but handleAnalyze calls generateTeamInsight() with NO args; the action re-resolves the team via resolveCoachTeamIdWithCookie from the auth session. Functionally it lands on the right team, but the teamId prop threaded through CommandCenter for analysis is dead/misleading and a double-resolve. A reviewer reading the code cannot trust that the displayed brief (resolved teamId) and the analyzed team are the same source of","Either pass teamId into generateTeamInsight(teamId) so the analyzed team is provably the same one rendered, or drop the misleading teamId prop from the analysis path and document that analysis is session-scoped.",,,medium,no,,
P022,CoachHelm Intelligence Hub,coach,Masthead action cluster — squint test (two equal secondary actions),low,ui-foundation,False,3,Exactly one primary on screen and a clear secondary hierarchy in the masthead (C1 squint test).,src/components/fairway/pages/coachhelm/FairwayBrief.tsx:309-324,actions render two equal secondary buttons ('Players' and 'Ask CoachHelm') in the masthead while the one green primary lives in the hero ('Work on {category}'). On a fast scan the masthead reads as two competing equal CTAs; the deliberate single-primary intent is documented in the comment but two identically-weighted secondaries still slightly dilute the 'one obvious primary action' read at the top of the page.,"Consider demoting one (e.g. 'Ask CoachHelm' as a ghost/icon-only or moving it into an overflow) so the masthead has one clearly dominant secondary, reinforcing the hero primary as the single obvious action.",,,low,no,,
P023,CoachHelm Intelligence Hub,coach,Deep analysis — dense insight/pattern data on glass surfaces,medium,ui-foundation,False,2,Dense data on solid surfaces; glass restricted to chrome (C3).,"src/components/golf/coachhelm/v2/IntelligenceCommandCenter.tsx:186-189, 213-216, 252, 320-326, 1324-1327","Dense data cards (evidence-metric grids, pattern stat grids, surface hub) are built on translucent/blurred surfaces: 'bg-cream-100/82 backdrop-blur-sm', 'bg-cream-100/68'. Criteria C3 require dense data on SOLID surfaces, glass only on chrome (nav/toolbars/overlays). Numbers (stroke impact, confidence %, evidence metrics) sit on blurred translucent plinths.","Move dense data cards to solid Fairway surfaces (surface / surface-sunken, no backdrop-blur); reserve glass for the dashboard chrome only.",,,medium,no,,
P024,CoachHelm Intelligence Hub,coach,Pulse strip / category detail — micro text size at 11px labels,low,a11y,False,3,Meaningful labels at >=12px; 11px reserved for decorative eyebrows (WCAG readability / minimalist clarity).,"src/components/fairway/pages/coachhelm/FairwayBrief.tsx:608-610, 624-626, 703-705, 834-836","Several structural labels use text-eyebrow (11px per tailwind.config.ts:263) uppercase with 0.06–0.14em tracking ('How the five areas rate', 'Dragging {category}', category bar labels, 'Category · metric'). 11px uppercase tracked text is at the low edge of comfortable legibility for a paying coach scanning on a field day, and is used as load-bearing section labels rather than decorative eyebrows.",Promote load-bearing labels (the foot-strip and category-bar labels that carry meaning) to caption/12px or body-sm/13px; keep 11px eyebrow only for true decorative overlines.,,,low,no,,
P025,CoachHelm Intelligence Hub,coach,"Deep analysis — OverviewSummary health score is a second, divergent team-health number",medium,data,False,2,"One canonical team-health number per screen; no two divergent /100 health figures (Nielsen #4 consistency, B4 no data lies).",src/components/golf/coachhelm/v2/IntelligenceCommandCenter.tsx:155-208,"OverviewSummary computes its OWN 'Team Health' as score=70 - urgent*15 - caution*5 + positive*5 - highImpact*3, displayed as N/100 'Strong/Attention Needed/Concerns Detected'. The brief above already shows a 'Health · out of 100' from getTeamCategoryInsights.teamHealth (PulseStrip, FairwayBrief.tsx:764-769) computed completely differently (1 - attentionCount/players). Same screen, two different 'Team Health /100' numbers from two formulas — a coach will see them disagree.",Reconcile to one team-health definition (reuse teamHealth from getTeamCategoryInsights) or relabel the engine's metric so it is not a competing 'Team Health /100'.,,,medium,no,,
P026,CoachHelm Intelligence Hub,coach,Hero responsive — fixed two-column grid + 180px Ribbon on small viewports,low,mobile,False,3,Verified mobile + tablet parity for the hero ribbon with no label collision (E RESPONSIVE).,"src/components/fairway/pages/coachhelm/FairwayBrief.tsx:552, 594-605","Hero uses 'grid gap-6 md:grid-cols-[1.1fr_0.9fr]' (stacks below md — good) but the right column renders a Ribbon with viewBox width 600 + height 180 'preserveAspectRatio=none'. Stacked under md the ribbon is fine, but at the md breakpoint boundary the 0.9fr column can squeeze the non-uniformly-scaled ribbon; benchmark label is absolutely positioned and could collide with the readout on narrow md widths. Worth a visual pass at 768–900px.",Verify the ribbon column at 768–900px (and the absolute benchmark label position); consider a min-width or switching the ribbon to the CategoryBars fallback below ~900px where the chart is cramped.,,,low,no,,
P027,Alerts / Signals,coach,Bulk-action bar + bulk Acknowledge/Resolve/Dismiss,medium,wiring,True,1,A working multi-select (checkboxes + select-all) so the bulk bar can appear and the wired bulk actions actually run.,"src/components/fairway/pages/coachhelm/FairwayCoachHelmSignals.tsx:315,1142,1038-1065","const [selectedIds, setSelectedIds] = useState<Set<string>>(new Set()); — every later reference is setSelectedIds(new Set()) (lines 433,650,701,715,1144,1244,1292) or onClearSelection. There is NO checkbox, row-select toggle, or select-all anywhere in the component, so selectedIds.size is ALWAYS 0. Toolbar gets selectedCount={selectedIds.size} (line 1142) → the bulkActions cluster (lines 1038-1065: Acknowledge/Resolve/Dismiss + Export) is rendered into Toolbar's bulk slot which only shows when s","Add a real selection affordance: a checkbox per InsightCard (and a select-all in the toolbar) that calls a toggleSelected(id) which adds/removes from selectedIds. Until selection exists, the bulk machinery is unreachable. Either ship row-selection or delete the dead bulk subsystem.",confirmed,high,critical,yes,mis-severed,True
P028,Alerts / Signals,coach,InsightCard click-to-open-panel (keyboard),high,a11y,True,1,Keyboard activation (Enter/Space) of the card so panel-open is operable without a mouse.,"src/components/fairway/cards-insight/InsightCard.tsx:243-245,398-408","const interactiveProps = interactive ? { tabIndex: 0, role: 'button' as const } : {}; — the card is given role=""button"" + tabIndex=0 + onClick (Signals passes interactive + onClick={() => setOpenRowId(row.id)} at FairwayCoachHelmSignals.tsx:958-959) but there is NO onKeyDown handler. Pressing Enter or Space on a focused card does nothing, so the detail InsightPanel is unreachable by keyboard.","Add onKeyDown to the interactive card that fires the click handler on Enter/Space (e.key==='Enter'||e.key===' ') with preventDefault on Space, OR render the card as a real <button>/wrap the clickable region in one. role=button without keyboard activation is a WCAG 2.1.1 failure.",confirmed,high,critical,yes,mis-severed,True
P029,Alerts / Signals,coach,Per-row triage actions (Acknowledge/Dismiss/Focus area) inside interactive card,high,wiring,True,1,"Action clicks must not also open the panel, and no interactive control nested in role=button.","src/components/fairway/pages/coachhelm/FairwayCoachHelmSignals.tsx:880-908,946-961","InsightCard is rendered with interactive + onClick={() => setOpenRowId(row.id)} AND actions={rowActions(row)}. The action <Button> onClicks (handleAcknowledge/handleDismissInsight/handleCreateFocusAreaFromInsight) never call stopPropagation (grep for stopPropagation in the file returns nothing). So clicking 'Acknowledge' also bubbles to the card and opens the detail panel. Additionally, <button> action controls are nested inside an element with role=""button"" — invalid interactive nesting.","Wrap action handlers to e.stopPropagation() (or render the card's clickable surface as a sibling/overlay rather than the whole article), and stop nesting buttons inside a role=button. Make the card's open-affordance a distinct control so actions don't double-fire panel-open.",confirmed,high,critical,yes,mis-severed,True
P030,Alerts / Signals,coach,Single-row triage feedback + undo (visibility of system status),medium,nielsen,True,2,Visible success feedback + an undo path for the destructive optimistic triage actions.,src/components/fairway/pages/coachhelm/FairwayCoachHelmSignals.tsx:525-552,"removeInsightOptimistic filters the row out of state and silently awaits the action; on success there is no toast/confirmation and no undo (grep for toast/sonner/undo in the file returns nothing). A dismissed/acknowledged signal just vanishes. Bulk actions set a `notice` InlineNotice, but per-row actions give zero feedback.",Fire a Sonner toast on each per-row triage ('Acknowledged — Undo' / 'Dismissed — Undo') with an undo that restores the row and reverses the server action. Matches Nielsen #1 (status) and #3 (control & freedom) for a destructive optimistic mutation.,confirmed,high,high,yes,mis-severed,True
P031,Alerts / Signals,coach,Touch targets on triage + filter controls,high,mobile,False,2,>=44px interactive targets for the primary triage/filters on mobile.,src/components/fairway/controls/button.tsx:87,"sm: 'min-h-[36px] px-3.5 py-1.5 …'. Every row action (Acknowledge/Dismiss/Focus area/Confirm/Address/Resolve), the toolbar Export, the Scan Team button, and the show-more controls use size=""sm"" → 36px tall, below the DoD-required >=44px touch target. The 'Focus' compact label still sits on a 36px button.","Use size>=md (44px) for primary triage actions on touch, or bump sm to min-h-[44px] on coarse pointers (e.g. a pointer:coarse media variant). The criteria DoD explicitly requires touch targets >=44px.",,,high,no,,
P032,Alerts / Signals,coach,Loading state (skeleton shape-match),medium,states,True,2,"A skeleton that reserves the actual Fairway layout (tiles + toolbar + cards), no content jump, Fairway tokens not legacy ones.",src/components/fairway/pages/coachhelm/FairwayCoachHelmSignals.tsx:1276-1277,"{loading ? <SkeletonList rows={4} /> : …}. SkeletonList (Skeleton.tsx:162) renders flat avatar+line+number rows — it does NOT match the real layout (3 MetricCard tiles + toolbar + grouped InsightCards with hero glass + evidence insets). The MetricCard tiles and toolbar are not skeletoned, so they pop in then the list reshapes → CLS / content jump. Separately the route loading.tsx renders the LEGACY AlertsPageSkeleton (skeleton.tsx:1751, uses surface-matte/warm-200/max-w-5xl) which is the non-Fai",Replace SkeletonList with a shape-matched skeleton: 3 SkeletonStat tiles in the grid + a toolbar placeholder + 3-4 SkeletonCard rows the size of InsightCards. Update the route loading.tsx to a Fairway-scoped skeleton matching the redesign layout.,confirmed,high,high,yes,mis-severed,True
P033,Alerts / Signals,coach,Initial data / SSR (loading flash),medium,states,False,2,"SSR-seeded initial insights so /alerts paints data on first frame, no client-fetch flash.",src/app/golf/(dashboard)/dashboard/alerts/page.tsx:71-94,"The flag-on branch only awaits getAlertCounts and passes signalCount; it does NOT pass initialInsights. So FairwayCoachHelmSignals mounts with initialInsights=[] → loading=true (component line 266-268) → an always-on client fetch + skeleton flash on every /alerts visit, despite the page already running server-side where the insights could be fetched.","Fetch getInsightsForCoach(coach.id, {priorities:['urgent','high'], limit:100}) in the server page and pass initialInsights so the surface renders immediately with no client-fetch skeleton (the /insights and /patterns forks already SSR-seed; /alerts should too).",,,medium,no,,
P034,Alerts / Signals,coach,Insight evidence + confidence in card,high,data,True,2,Insight cards render their real evidence inset + confidence word — parity with pattern cards.,src/components/fairway/pages/coachhelm/signals/patternToInsightVocabulary.ts:213-231,"insightToSignalRow returns evidence: [] and confidenceWord: null for EVERY insight, even though EvidenceInsight carries a populated `evidence: InsightEvidence` field (insight-delivery.ts:93) — the whole point of the 'evidence-backed insight'. On /alerts (insights source) every card therefore shows no evidence inset and no confidence word, while pattern cards show rich Stroke impact/Confidence/Lift/Sample. The surface looks half-built and under-informative for its primary data type.","Map InsightEvidence into SignalEvidenceLine[] (metric/value/gloss) and translate any confidence the insight carries into a confidenceWord, so insight cards on /alerts carry the same evidence depth as pattern cards. Discarding the evidence field is data loss on the surface that is literally named for it.",confirmed,high,high,yes,confirmed,True
P035,Alerts / Signals,coach,Summary tiles — 'Loaded' count + dead goodDirection,medium,data,False,2,Tile counts reflect the true total (not a 100-row cap) and no dead props on MetricCard.,"src/components/fairway/pages/coachhelm/FairwayCoachHelmSignals.tsx:772-780,1088-1096","summary is computed from allRows which is capped at the read limit:100 (loadInsights limit:100). 'Open signals' and 'Loaded' present a count that silently truncates at 100 — if a team has >100 urgent/high insights the tiles understate reality without saying so. Also <MetricCard label=""Urgent + high"" value={summary.urgent} goodDirection=""down"" /> passes goodDirection but no `delta`, so goodDirection is a no-op dead prop (delta tone is the only consumer).","Either lift the cap with a count query (select count, not capped rows) for the tiles, or footnote 'first 100'. Remove the goodDirection prop where no delta is supplied (it does nothing) or add a real week-over-week delta so the tile earns its trend semantics.",,,medium,no,,
