id,severity,tab,unit,file,issue,cluster,wave,autonomy,legacy_disposition,verification,status,pr
F028,HIGH,My Game/Standing,player-profile-self,src/app/golf/(dashboard)/dashboard/my-standing/page.tsx:110-167,Redesign (prod) fork renders only `StandingStrip` and omits `<CounterfactualLine>` entirely. The legacy fork (`:234-242`) renders it under every bar. `loadPlayerScoringBaseline` is still fetched (`:89-91`) but `playerBaseline` is dead in the Fairway branch.,B11-my-standing-pga-omitted-counterfactual,B,review-gated,fix,F006 needs WOMENS-team player seeded -> no reference tick/Readout when pga_omitted; F028 CounterfactualLine restored under each strip flag-on; component test+tc/lint,done,#331
F029,HIGH,Qualifiers (coach),qualifiers-coach,`src/app/golf/actions/golf.ts:2802-2856` (no caller),`updateQualifierStatus` is never invoked by any component/page. No UI to transition a qualifier `upcoming → in_progress → completed`; no auto-transition on round submit.,B38-qualifier-coach-status-lifecycle,B,review-gated,fix,browser: wire updateQualifierStatus to coach control or auto-transition on round submit; realtime num_rounds/holes_per_round honest (cols dont exist->prop fallback); HOT golf.ts; vitest+tc/lint,done,#332
F030,HIGH,Recruiting HQ,recruiting-hq,"src/app/golf/actions/recruit-documents.ts:24,126-167 + next.config.mjs:87-89","`uploadRecruitDocument` receives the `File` as a Server Action argument, but `next.config.mjs` sets `serverActions.bodySizeLimit: '2mb'`. The action allows up to 25 MB (`MAX_FILE_BYTES`) and the bucket `file_size_limit` is also 25 MB, so any document between 2 MB and 25 MB is rejected by Next.js **before** the action runs — the action's own size check (`:133`) never executes.",B37-recruiting-hq-bodysize-popup-revalidate,B,review-gated,fix,browser: upload 2-25MB doc succeeds (raise bodySizeLimit OR signed upload); download opens in user-gesture; drop dead revalidatePath; tc/lint,done,#331
F031,HIGH,Roster,roster,`src/app/golf/actions/golf.ts:3006` (`updatePlayerStatus`) → `src/lib/auth/ownership.ts:61-86` (`requireGolfCoach`),"`updatePlayerStatus` resolves the team via `requireGolfCoach()`, which does `golf_teams.select('id').eq('organization_id',…).maybeSingle()` — NOT cookie-aware and NOT staff-strict. For a men's/women's program (org with >1 team), `.maybeSingle()` returns an error (multiple rows) → `teamId=null` → action returns ""Coach not assigned to a team"". The roster READ and `removePlayerFromTeam` correctly use `resolveCoachTeamIdWithCookie`, so this is the lone write that ignores the toggle.",B5-multi-coach-team-resolution-authz,B,review-gated,fix,browser multi-coach org: updatePlayerStatus persists (resolveCoachTeamIdWithCookie); player team page shows head coach; co-coach deletes peer announcement (validateCoachTeamAccess); HOT golf.ts; vitest+tc/lint,done,#332
F032,HIGH,Settings + Notifications,settings-core,src/lib/notifications/types.ts:52-53 vs src/app/actions/notification-preferences.ts:107-108,"Delivery defaults `DEFAULT_NOTIFICATION_PREFERENCES` set `push_messages:true, push_events:true`, but the settings UI panel (`page.tsx:911-912`) and `getNotificationPreferences` default both to `false`.",B3-notification-delivery-consolidation,B,review-gated,fix,browser: coach Notifications panel persists to users.notification_preferences; palette no dead-end; delivery-gate test off->no send; defaults aligned; .maybeSingle() on write read; no anon grant; orphaned golf_player_notification_state left in place; HOT FairwaySettingsGeneral; tc/lint/vitest,done,#332
F033,HIGH,Tasks,tasks,src/hooks/golf/use-task-realtime.ts:223-238 + src/app/golf/actions/tasks.ts:169,Realtime subscription + refetch only watch `golf_tasks`; `completeTask` mutates `golf_task_assignments`,B2-tasks-read-model-unification,B,review-gated,fix,"browser: coach progress N/M; player sees+completes task (persists); player root home Today lists task (F027 same root, folded); subscribe realtime to golf_task_assignments; HOT dashboard-data.ts+use-task-realtime.ts; vitest+tc/lint",done,#332
F034,HIGH,Tasks,tasks,src/components/golf/tasks/TaskCard.tsx (whole file),Legacy (flag-off) `TaskCard`/`TasksList` render no complete control for either role,C23-tasks-dead-code-retire-reminder-cron,C,review-gated,mixed,"F152 delete 3 zero-caller actions (retire-dead-code); F034 retire legacy TaskCard fork (gated deletion); F092/93/94 new cron (golf_tasks.reminder_at, recipients via golf_players.user_id)+delete broken task-reminders.ts queue; HOT tasks.ts serialize after B2; vitest+tc/lint",done,#332
F035,HIGH,Tasks,tasks,src/app/golf/actions/dashboard-data.ts:774-781 + src/app/golf/actions/tasks.ts:120-167,"Player Hub ""pending tasks"" reads `golf_tasks.status` + `assigned_to`; completion only updates `golf_task_assignments`, never `golf_tasks.status`",B2-tasks-read-model-unification,B,review-gated,fix,"browser: coach progress N/M; player sees+completes task (persists); player root home Today lists task (F027 same root, folded); subscribe realtime to golf_task_assignments; HOT dashboard-data.ts+use-task-realtime.ts; vitest+tc/lint",done,#332
F036,HIGH,Team Hub/Info,team-hub-and-info,`src/app/golf/(dashboard)/dashboard/team/page.tsx:137-143`,"Player ""Head coach"" resolved with `golf_coaches.eq('organization_id', team.organization_id).maybeSingle()`. `.maybeSingle()` returns `{data:null, error}` when the org has >1 coach; the page destructures only `data` so the error is swallowed and `teamCoach` becomes `null`.",B5-multi-coach-team-resolution-authz,B,review-gated,fix,browser multi-coach org: updatePlayerStatus persists (resolveCoachTeamIdWithCookie); player team page shows head coach; co-coach deletes peer announcement (validateCoachTeamAccess); HOT golf.ts; vitest+tc/lint,done,#332
F037,MEDIUM,Announcements,announcements,src/app/golf/actions/announcements.ts:738,"`deleteAnnouncement` authorizes only the original author (`ann.created_by !== coach.id`). On multi-coach teams (program head + assistant, or men's/women's shared head) a co-coach cannot delete a teammate's announcement even though they share the team.",B5-multi-coach-team-resolution-authz,B,review-gated,fix,browser multi-coach org: updatePlayerStatus persists (resolveCoachTeamIdWithCookie); player team page shows head coach; co-coach deletes peer announcement (validateCoachTeamAccess); HOT golf.ts; vitest+tc/lint,done,#332
F038,MEDIUM,Auth,auth-flows,src/app/golf/(auth)/forgot-password/page.tsx:28-33,Page calls `supabase.auth.resetPasswordForEmail` directly instead of the existing `requestPasswordResetAction` server action.,B18-auth-server-action-reset-flow,B,review-gated,fix,browser: forgot via rate-limited action+generic msg; full reset E2E (recovery session/exchangeCodeForSession); returnTo via isSafeInternalPath; signup revalidates; F039 needsLiveVerify; tc/lint/vitest,done,#331
F039,MEDIUM,Auth,auth-flows,src/app/golf/(auth)/reset-password/page.tsx:42,"`updateUser({ password })` is called with no explicit recovery-session establishment; the forgot-password link points straight at `/golf/reset-password` (not `/auth/callback`), and the browser client has no explicit `flowType`/`detectSessionInUrl`/`exchangeCodeForSession` handling.",B18-auth-server-action-reset-flow,B,review-gated,fix,browser: forgot via rate-limited action+generic msg; full reset E2E (recovery session/exchangeCodeForSession); returnTo via isSafeInternalPath; signup revalidates; F039 needsLiveVerify; tc/lint/vitest,done,#331
F040,MEDIUM,Calendar,calendar,`golf.ts` / `recurring-events.ts` (no `availability-polling.ts`),"Spec marks ""Availability Polling ✅"" but no poll action/UI exists; `golf_availability_polls`/`golf_poll_responses` are never written.",C14-calendar-dormant-features-pagination,C,autonomous,fix,F040 downgrade spec claim (no poll feature); F101 surface recurrence on mobile or doc limit; F102 doc/paginate 500-cap; tc/lint,done,#332
F041,MEDIUM,Calendar,calendar,`PremiumCalendarClient.tsx:792-823`,Drag-to-reschedule of an ALL-DAY event: `start_date===end_date` after page normalization → `durationHours===0` → else branch forces `allDay:false` + a 1-hour timed window.,B34-calendar-event-status-allday-drag,B,autonomous,fix,"browser: one-off event badge Confirmed; drag all-day stays all-day; HOT golf.ts+PremiumCalendarClient (two chains, single owner last); vitest+tc/lint",done,#332
F042,MEDIUM,Calendar,calendar,"`golf.ts:1989-2011` (no status set → DB default `'scheduled'`) vs `recurring-events.ts:473,505` (`status:'confirmed'`)","One-off events land as `'scheduled'`, recurring as `'confirmed'`; nothing sets `'completed'`. `StatusBadge.tsx:25` enumerates `draft",B34-calendar-event-status-allday-drag,B,autonomous,fix,"browser: one-off event badge Confirmed; drag all-day stays all-day; HOT golf.ts+PremiumCalendarClient (two chains, single owner last); vitest+tc/lint",done,#332
F043,MEDIUM,Classes,classes,"page.tsx:129,170,197 + AddClassModal.tsx:237-241 + ClassDetailModal.tsx:53-57",`handleAddClass`/`handleUpdateClass`/`handleDeleteClass` just `throw error` on failure (no toast). The modals catch the throw silently (`catch { /* UI shows original state */ }`). Only the import-confirm and delete-all paths show a toast.,B14-classes-edit-error-resync (+A5),B,review-gated,fix,browser: edit opens prefilled; save failure toasts; calendar resync via detectSemester default (.success checked); semester subtitle hidden when empty; no destructive delete-then-insert; vitest+tc/lint,done,#331
F044,MEDIUM,Classes,classes,"page.tsx:174,318,492,891 → calendar-sync.ts:169-173",Editing a class re-syncs the calendar with `semester: ''` because semester is not stored in `golf_player_classes` (page rebuilds the edit form with `semester: ''`). `parseSemesterDates('')` returns `null` → `syncClassToCalendar` returns `{success:false}`. The page `await`s but never checks `.success`.,B14-classes-edit-error-resync (+A5),B,review-gated,fix,browser: edit opens prefilled; save failure toasts; calendar resync via detectSemester default (.success checked); semester subtitle hidden when empty; no destructive delete-then-insert; vitest+tc/lint,done,#331
F045,MEDIUM,Coach Dashboard home,coach-home,`src/components/fairway/pages/dashboard/FairwayCoachDashboard.tsx:393-456`,"KPI `MetricCard`s are passed only `value`+`footnote`; the computed `enhancedData.sparklines.{scoringAvg,girPct,puttsPerRound}.trend` and `.sparkline` are never passed. `MetricCard` natively supports `delta` + `sparkline` (`MetricCard.tsx:83-88`).",B17-coach-home-kpi-today-actionitems,B,autonomous,fix,browser: MetricCards show delta+sparkline; Today region+Action Items render from enhancedData; presentational only; component test+tc/lint,done,#329
F046,MEDIUM,Coach Dashboard home,coach-home,`src/components/fairway/pages/dashboard/FairwayCoachDashboard.tsx` (no render of `enhancedData.todayEvents` / `enhancedData.actionItems`),"The Fairway home never renders a Today's-schedule timeline or an Action-Items list. Legacy `CoachDashboard.tsx:362-371` (`TodayTimeline`) and `:458-461` (`ActionItemsCard`) render both. In Fairway, `todayEvents` + `actionItems` only collapse into the single signal headline (`coach-signal.ts:50-53`).",B17-coach-home-kpi-today-actionitems,B,autonomous,fix,browser: MetricCards show delta+sparkline; Today region+Action Items render from enhancedData; presentational only; component test+tc/lint,done,#329
F047,MEDIUM,Alerts,coachhelm-alerts,"FairwayCoachHelmSignals.tsx:1018-1045, 628-651",Bulk-action bar (Acknowledge / Resolve / Dismiss) is unreachable: `selectedIds` is only ever set to `new Set()` (cleared) — no per-row checkbox/selection affordance exists in `renderCard`/`InsightCard` to ADD ids. `runBulk` early-returns on empty selection; the bar only shows when `selectedCount>0`.,B9c-signals-bulk-action-selection-affordance,B,autonomous,fix,browser: select two cards via new selection control -> bulk-action bar appears -> Acknowledge moves rows out of Active; decision: ship selection UI vs remove dead bulk wiring (flag in PR); SERIALIZE in FairwayCoachHelmSignals chain (HOT); tc/lint/vitest,done,#331
F048,MEDIUM,Alerts,coachhelm-alerts,"FairwayCoachHelmSignals.tsx:181-186, 720-734 + page.tsx:81","Toolbar `SEVERITY_OPTIONS` only offers critical/high/medium/low, but the seeded applied-chip renders label 'Urgent' (capitalized raw value, line 725). The severity MENU shows 'Critical' as unselected while an 'Urgent' chip shows as applied — and the badge `signalCount` counts urgent+high while the feed (per the HIGH bug) shows only high.",B9-alerts-urgent-severity-normalization,B,review-gated,fix,"browser: urgent alert renders by default; applied chip reads Critical; signalCount matches feed; normalize urgent->critical in UI vocab, keep DB fetch [urgent,high]; HOT FairwayCoachHelmSignals; vitest+tc/lint",done,#331
